OriginalOrder,Date,Year,Month,Julian,max.F,min.F,precip.in,max.C,min.C,precip.mm,mean.C,rain.mm,snow.mm,SnowDepth.mm
4526,6/9/1916,1916,Jun,161,63,26,0.05,17.22222222,-3.333333333,1.27,6.944444444,1.250397421,0.019602579,NA
4527,6/10/1916,1916,Jun,162,48,28,0,8.888888889,-2.222222222,0,3.333333333,0,0,NA
4528,6/11/1916,1916,Jun,163,52,24,0,11.11111111,-4.444444444,0,3.333333333,0,0,NA
4529,6/12/1916,1916,Jun,164,56,22,0,13.33333333,-5.555555556,0,3.888888889,0,0,NA
4530,6/13/1916,1916,Jun,165,66,22,0,18.88888889,-5.555555556,0,6.666666667,0,0,NA
4531,6/14/1916,1916,Jun,166,67,26,0,19.44444444,-3.333333333,0,8.055555556,0,0,NA
4532,6/15/1916,1916,Jun,167,69,NA,NA,20.55555556,NA,NA,NA,NA,NA,NA
4533,6/16/1916,1916,Jun,168,70,29,0,21.11111111,-1.666666667,0,9.722222222,0,0,NA
4534,6/17/1916,1916,Jun,169,72,27,0,22.22222222,-2.777777778,0,9.722222222,0,0,NA
4535,6/18/1916,1916,Jun,170,62,30,0,16.66666667,-1.111111111,0,7.777777778,0,0,NA
4536,6/19/1916,1916,Jun,171,54,29,1.09,12.22222222,-1.666666667,27.686,5.277777778,26.13184431,1.554155695,NA
4537,6/20/1916,1916,Jun,172,41,28,0.56,5,-2.222222222,14.224,1.388888889,6.091796504,8.132203496,NA
4538,6/21/1916,1916,Jun,173,43,27,0.11,6.111111111,-2.777777778,2.794,1.666666667,1.350450573,1.443549427,NA
4539,6/22/1916,1916,Jun,174,53,24,0.04,11.66666667,-4.444444444,1.016,3.611111111,0.828966025,0.187033975,NA
4540,6/23/1916,1916,Jun,175,67,26,0,19.44444444,-3.333333333,0,8.055555556,0,0,NA
4541,6/24/1916,1916,Jun,176,63,26,0.06,17.22222222,-3.333333333,1.524,6.944444444,1.500476905,0.023523095,NA
4542,6/25/1916,1916,Jun,177,70,30,0,21.11111111,-1.111111111,0,10,0,0,NA
4543,6/26/1916,1916,Jun,178,73,33,0,22.77777778,0.555555556,0,11.66666667,0,0,NA
4544,6/27/1916,1916,Jun,179,72,35,0,22.22222222,1.666666667,0,11.94444444,0,0,NA
4545,6/28/1916,1916,Jun,180,64,37,0,17.77777778,2.777777778,0,10.27777778,0,0,NA
4546,6/29/1916,1916,Jun,181,66,36,0,18.88888889,2.222222222,0,10.55555556,0,0,NA
4547,6/30/1916,1916,Jun,182,66,27,0,18.88888889,-2.777777778,0,8.055555556,0,0,NA
4548,7/1/1916,1916,Jul,183,77,32,0,25,0,0,12.5,0,0,NA
4549,7/2/1916,1916,Jul,184,76,35,0,24.44444444,1.666666667,0,13.05555556,0,0,NA
4550,7/3/1916,1916,Jul,185,74,30,0,23.33333333,-1.111111111,0,11.11111111,0,0,NA
4551,7/4/1916,1916,Jul,186,75,32,0,23.88888889,0,0,11.94444444,0,0,NA
4552,7/5/1916,1916,Jul,187,76,31,0,24.44444444,-0.555555556,0,11.94444444,0,0,NA
4553,7/6/1916,1916,Jul,188,77,33,0,25,0.555555556,0,12.77777778,0,0,NA
4554,7/7/1916,1916,Jul,189,82,33,0,27.77777778,0.555555556,0,14.16666667,0,0,NA
4555,7/8/1916,1916,Jul,190,76,43,NA,24.44444444,6.111111111,NA,15.27777778,NA,NA,NA
4556,7/9/1916,1916,Jul,191,74,39,0,23.33333333,3.888888889,0,13.61111111,0,0,NA
4557,7/10/1916,1916,Jul,192,70,40,0,21.11111111,4.444444444,0,12.77777778,0,0,NA
4558,7/11/1916,1916,Jul,193,74,32,0,23.33333333,0,0,11.66666667,0,0,NA
4559,7/12/1916,1916,Jul,194,75,36,0,23.88888889,2.222222222,0,13.05555556,0,0,NA
4560,7/13/1916,1916,Jul,195,77,38,0,25,3.333333333,0,14.16666667,0,0,NA
4561,7/14/1916,1916,Jul,196,69,39,0,20.55555556,3.888888889,0,12.22222222,0,0,NA
4562,7/15/1916,1916,Jul,197,70,39,0,21.11111111,3.888888889,0,12.5,0,0,NA
4563,7/16/1916,1916,Jul,198,75,39,NA,23.88888889,3.888888889,NA,13.88888889,NA,NA,NA
4564,7/17/1916,1916,Jul,199,72,38,0.41,22.22222222,3.333333333,10.414,12.77777778,10.41246499,0.00153501,NA
4565,7/18/1916,1916,Jul,200,69,32,0,20.55555556,0,0,10.27777778,0,0,NA
4566,7/19/1916,1916,Jul,201,66,27,0,18.88888889,-2.777777778,0,8.055555556,0,0,NA
4567,7/20/1916,1916,Jul,202,71,31,0,21.66666667,-0.555555556,0,10.55555556,0,0,NA
4568,7/21/1916,1916,Jul,203,74,33,0,23.33333333,0.555555556,0,11.94444444,0,0,NA
4569,7/22/1916,1916,Jul,204,70,35,0,21.11111111,1.666666667,0,11.38888889,0,0,NA
4570,7/23/1916,1916,Jul,205,75,30,0,23.88888889,-1.111111111,0,11.38888889,0,0,NA
4571,7/24/1916,1916,Jul,206,71,34,0,21.66666667,1.111111111,0,11.38888889,0,0,25.4
4572,7/25/1916,1916,Jul,207,72,36,0.03,22.22222222,2.222222222,0.762,12.22222222,0.761824841,0.000175159,NA
4573,7/26/1916,1916,Jul,208,72,39,0,22.22222222,3.888888889,0,13.05555556,0,0,NA
4574,7/27/1916,1916,Jul,209,75,40,0,23.88888889,4.444444444,0,14.16666667,0,0,NA
4575,7/28/1916,1916,Jul,210,64,44,0.8,17.77777778,6.666666667,20.32,12.22222222,20.31532909,0.004670907,NA
4576,7/29/1916,1916,Jul,211,67,41,0,19.44444444,5,0,12.22222222,0,0,NA
4577,7/30/1916,1916,Jul,212,71,34,0,21.66666667,1.111111111,0,11.38888889,0,0,NA
4578,7/31/1916,1916,Jul,213,73,35,0,22.77777778,1.666666667,0,12.22222222,0,0,NA
4579,8/1/1916,1916,Aug,214,79,38,0,26.11111111,3.333333333,0,14.72222222,0,0,NA
4580,8/2/1916,1916,Aug,215,78,38,0,25.55555556,3.333333333,0,14.44444444,0,0,NA
4581,8/3/1916,1916,Aug,216,73,34,0.04,22.77777778,1.111111111,1.016,11.94444444,1.015708354,0.000291646,NA
4582,8/4/1916,1916,Aug,217,75,37,0,23.88888889,2.777777778,0,13.33333333,0,0,NA
4583,8/5/1916,1916,Aug,218,74,35,0,23.33333333,1.666666667,0,12.5,0,0,NA
4584,8/6/1916,1916,Aug,219,64,35,0,17.77777778,1.666666667,0,9.722222222,0,0,NA
4585,8/7/1916,1916,Aug,220,73,28,0,22.77777778,-2.222222222,0,10.27777778,0,0,NA
4586,8/8/1916,1916,Aug,221,70,29,0,21.11111111,-1.666666667,0,9.722222222,0,0,NA
4587,8/9/1916,1916,Aug,222,70,41,0.32,21.11111111,5,8.128,13.05555556,8.127040643,0.000959357,NA
4588,8/10/1916,1916,Aug,223,63,37,0.37,17.22222222,2.777777778,9.398,10,9.38523263,0.01276737,NA
4589,8/11/1916,1916,Aug,224,72,32,0,22.22222222,0,0,11.11111111,0,0,NA
4590,8/12/1916,1916,Aug,225,74,31,0,23.33333333,-0.555555556,0,11.38888889,0,0,NA
4591,8/13/1916,1916,Aug,226,71,34,0,21.66666667,1.111111111,0,11.38888889,0,0,NA
4592,8/14/1916,1916,Aug,227,69,35,0,20.55555556,1.666666667,0,11.11111111,0,0,NA
4593,8/15/1916,1916,Aug,228,76,31,0,24.44444444,-0.555555556,0,11.94444444,0,0,NA
4594,8/16/1916,1916,Aug,229,70,34,0,21.11111111,1.111111111,0,11.11111111,0,0,NA
4595,8/17/1916,1916,Aug,230,71,36,0,21.66666667,2.222222222,0,11.94444444,0,0,304.8
4596,8/18/1916,1916,Aug,231,64,35,0,17.77777778,1.666666667,0,9.722222222,0,0,NA
4597,8/19/1916,1916,Aug,232,57,24,0,13.88888889,-4.444444444,0,4.722222222,0,0,NA
4598,8/20/1916,1916,Aug,233,66,23,0,18.88888889,-5,0,6.944444444,0,0,NA
4599,8/21/1916,1916,Aug,234,63,25,0,17.22222222,-3.888888889,0,6.666666667,0,0,NA
4600,8/22/1916,1916,Aug,235,67,27,0,19.44444444,-2.777777778,0,8.333333333,0,0,NA
4601,8/23/1916,1916,Aug,236,77,28,0,25,-2.222222222,0,11.38888889,0,0,NA
4602,8/24/1916,1916,Aug,237,75,31,0,23.88888889,-0.555555556,0,11.66666667,0,0,NA
4603,8/25/1916,1916,Aug,238,72,32,0,22.22222222,0,0,11.11111111,0,0,NA
4604,8/26/1916,1916,Aug,239,71,38,0,21.66666667,3.333333333,0,12.5,0,0,279.4
4605,8/27/1916,1916,Aug,240,73,31,0,22.77777778,-0.555555556,0,11.11111111,0,0,NA
4606,8/28/1916,1916,Aug,241,71,28,0,21.66666667,-2.222222222,0,9.722222222,0,0,279.4
4607,8/29/1916,1916,Aug,242,66,32,0,18.88888889,0,0,9.444444444,0,0,NA
4608,8/30/1916,1916,Aug,243,70,35,0.03,21.11111111,1.666666667,0.762,11.38888889,0.761658911,0.000341089,NA
4609,8/31/1916,1916,Aug,244,71,34,0,21.66666667,1.111111111,0,11.38888889,0,0,NA
4610,9/1/1916,1916,Sep,245,72,32,0,22.22222222,0,0,11.11111111,0,0,NA
4611,9/2/1916,1916,Sep,246,61,27,0.37,16.11111111,-2.777777778,9.398,6.666666667,9.217536285,0.180463715,NA
4612,9/3/1916,1916,Sep,247,74,34,0.09,23.33333333,1.111111111,2.286,12.22222222,2.285474523,0.000525477,NA
4613,9/4/1916,1916,Sep,248,59,28,0,15,-2.222222222,0,6.388888889,0,0,NA
4614,9/5/1916,1916,Sep,249,69,26,NA,20.55555556,-3.333333333,NA,8.611111111,NA,NA,NA
4615,9/6/1916,1916,Sep,250,61,32,0.08,16.11111111,0,2.032,8.055555556,2.018987545,0.013012455,NA
4616,9/7/1916,1916,Sep,251,68,26,0.04,20,-3.333333333,1.016,8.333333333,1.010783564,0.005216436,NA
4617,9/8/1916,1916,Sep,252,79,32,0,26.11111111,0,0,13.05555556,0,0,254
4618,9/9/1916,1916,Sep,253,68,29,0.07,20,-1.666666667,1.778,9.166666667,1.773301398,0.004698602,254
4619,9/10/1916,1916,Sep,254,42,26,0.05,5.555555556,-3.333333333,1.27,1.111111111,0.476165026,0.793834974,279.4
4620,9/11/1916,1916,Sep,255,40,19,0,4.444444444,-7.222222222,0,-1.388888889,0,0,279.4
4621,9/12/1916,1916,Sep,256,59,23,0,15,-5,0,5,0,0,NA
4622,9/13/1916,1916,Sep,257,64,21,0,17.77777778,-6.111111111,0,5.833333333,0,0,NA
4623,9/14/1916,1916,Sep,258,63,15,0,17.22222222,-9.444444444,0,3.888888889,0,0,NA
4624,9/15/1916,1916,Sep,259,72,18,0,22.22222222,-7.777777778,0,7.222222222,0,0,NA
4625,9/16/1916,1916,Sep,260,65,21,0,18.33333333,-6.111111111,0,6.111111111,0,0,NA
4626,9/17/1916,1916,Sep,261,61,24,0,16.11111111,-4.444444444,0,5.833333333,0,0,228.6
4627,9/18/1916,1916,Sep,262,52,18,0.13,11.11111111,-7.777777778,3.302,1.666666667,1.59598704,1.70601296,NA
4628,9/19/1916,1916,Sep,263,68,21,0,20,-6.111111111,0,6.944444444,0,0,NA
4629,9/20/1916,1916,Sep,264,64,22,0,17.77777778,-5.555555556,0,6.111111111,0,0,254
4630,9/21/1916,1916,Sep,265,68,23,0,20,-5,0,7.5,0,0,254
4631,9/22/1916,1916,Sep,266,63,22,0,17.22222222,-5.555555556,0,5.833333333,0,0,254
4632,9/23/1916,1916,Sep,267,67,24,0.06,19.44444444,-4.444444444,1.524,7.5,1.508833454,0.015166546,254
4633,9/24/1916,1916,Sep,268,63,31,0.27,17.22222222,-0.555555556,6.858,8.333333333,6.822789056,0.035210944,254
4634,9/25/1916,1916,Sep,269,61,24,0,16.11111111,-4.444444444,0,5.833333333,0,0,279.4
4635,9/26/1916,1916,Sep,270,58,23,0.06,14.44444444,-5,1.524,4.722222222,1.394638271,0.129361729,279.4
4636,9/27/1916,1916,Sep,271,59,25,0.21,15,-3.888888889,5.334,5.555555556,5.091527404,0.242472596,279.4
4637,9/28/1916,1916,Sep,272,48,13,0,8.888888889,-10.55555556,0,-0.833333333,0,0,330.2
4638,9/29/1916,1916,Sep,273,52,18,0,11.11111111,-7.777777778,0,1.666666667,0,0,330.2
4639,9/30/1916,1916,Sep,274,63,24,0,17.22222222,-4.444444444,0,6.388888889,0,0,304.8
4640,10/1/1916,1916,Oct,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.2
4641,10/2/1916,1916,Oct,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,381
4642,10/3/1916,1916,Oct,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,381
4643,10/4/1916,1916,Oct,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,381
4644,10/5/1916,1916,Oct,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.6
4645,10/6/1916,1916,Oct,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,508
4646,10/7/1916,1916,Oct,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,508
4647,10/8/1916,1916,Oct,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.6
4648,10/9/1916,1916,Oct,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.2
4649,10/10/1916,1916,Oct,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.4
4650,10/11/1916,1916,Oct,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,381
4651,10/12/1916,1916,Oct,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,355.6
4652,10/13/1916,1916,Oct,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.2
4653,10/14/1916,1916,Oct,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.8
4654,10/15/1916,1916,Oct,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.4
4655,10/16/1916,1916,Oct,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,254
4656,10/17/1916,1916,Oct,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.2
4657,10/18/1916,1916,Oct,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.2
4658,10/19/1916,1916,Oct,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.8
4659,10/20/1916,1916,Oct,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.8
4660,10/21/1916,1916,Oct,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.8
4661,10/22/1916,1916,Oct,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.2
4662,10/23/1916,1916,Oct,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.4
4663,10/24/1916,1916,Oct,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4664,10/25/1916,1916,Oct,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4665,10/26/1916,1916,Oct,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4666,10/27/1916,1916,Oct,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4667,10/28/1916,1916,Oct,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4668,10/29/1916,1916,Oct,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4669,10/30/1916,1916,Oct,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4670,10/31/1916,1916,Oct,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4671,11/1/1916,1916,Nov,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4672,11/2/1916,1916,Nov,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4673,11/3/1916,1916,Nov,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4674,11/4/1916,1916,Nov,309,40,14,NA,4.444444444,-10,NA,-2.777777778,NA,NA,NA
4675,11/5/1916,1916,Nov,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4676,11/6/1916,1916,Nov,311,44,12,NA,6.666666667,-11.11111111,NA,-2.222222222,NA,NA,NA
4677,11/7/1916,1916,Nov,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4678,11/8/1916,1916,Nov,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4679,11/9/1916,1916,Nov,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4680,11/10/1916,1916,Nov,315,31,9,NA,-0.555555556,-12.77777778,NA,-6.666666667,NA,NA,NA
4681,11/11/1916,1916,Nov,316,28,NA,NA,-2.222222222,NA,NA,NA,NA,NA,NA
4682,11/12/1916,1916,Nov,317,25,19,NA,-3.888888889,-7.222222222,NA,-5.555555556,NA,NA,NA
4683,11/13/1916,1916,Nov,318,31,1,NA,-0.555555556,-17.22222222,NA,-8.888888889,NA,NA,NA
4684,11/14/1916,1916,Nov,319,30,0,NA,-1.111111111,-17.77777778,NA,-9.444444444,NA,NA,NA
4685,11/15/1916,1916,Nov,320,30,0,NA,-1.111111111,-17.77777778,NA,-9.444444444,NA,NA,NA
4686,11/16/1916,1916,Nov,321,32,0,0.05,0,-17.77777778,1.27,-8.888888889,0.000255498,1.269744502,NA
4687,11/17/1916,1916,Nov,322,29,9,NA,-1.666666667,-12.77777778,NA,-7.222222222,NA,NA,NA
4688,11/18/1916,1916,Nov,323,31,NA,NA,-0.555555556,NA,NA,NA,NA,NA,NA
4689,11/19/1916,1916,Nov,324,40,14,NA,4.444444444,-10,NA,-2.777777778,NA,NA,NA
4690,11/20/1916,1916,Nov,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4691,11/21/1916,1916,Nov,326,NA,NA,0.04,NA,NA,1.016,NA,NA,NA,NA
4692,11/22/1916,1916,Nov,327,35,12,NA,1.666666667,-11.11111111,NA,-4.722222222,NA,NA,NA
4693,11/23/1916,1916,Nov,328,37,13,NA,2.777777778,-10.55555556,NA,-3.888888889,NA,NA,NA
4694,11/24/1916,1916,Nov,329,NA,NA,1,NA,NA,25.4,NA,NA,NA,NA
4695,11/25/1916,1916,Nov,330,30,10,NA,-1.111111111,-12.22222222,NA,-6.666666667,NA,NA,NA
4696,11/26/1916,1916,Nov,331,28,8,NA,-2.222222222,-13.33333333,NA,-7.777777778,NA,NA,NA
4697,11/27/1916,1916,Nov,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4698,11/28/1916,1916,Nov,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4699,11/29/1916,1916,Nov,334,30,6,NA,-1.111111111,-14.44444444,NA,-7.777777778,NA,NA,NA
4700,11/30/1916,1916,Nov,335,28,10,NA,-2.222222222,-12.22222222,NA,-7.222222222,NA,NA,NA
4701,12/1/1916,1916,Dec,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4702,12/2/1916,1916,Dec,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4703,12/3/1916,1916,Dec,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4704,12/4/1916,1916,Dec,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4705,12/5/1916,1916,Dec,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4706,12/6/1916,1916,Dec,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4707,12/7/1916,1916,Dec,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4708,12/8/1916,1916,Dec,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4709,12/9/1916,1916,Dec,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4710,12/10/1916,1916,Dec,345,30,8,NA,-1.111111111,-13.33333333,NA,-7.222222222,NA,NA,NA
4711,12/11/1916,1916,Dec,346,18,-4,0.2,-7.777777778,-20,5.08,-13.88888889,1.87E-05,5.079981278,NA
4712,12/12/1916,1916,Dec,347,22,-10,0.45,-5.555555556,-23.33333333,11.43,-14.44444444,2.70E-05,11.42997299,NA
4713,12/13/1916,1916,Dec,348,NA,NA,0.22,NA,NA,5.588,NA,NA,NA,NA
4714,12/14/1916,1916,Dec,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4715,12/15/1916,1916,Dec,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4716,12/16/1916,1916,Dec,351,22,-25,NA,-5.555555556,-31.66666667,NA,-18.61111111,NA,NA,NA
4717,12/17/1916,1916,Dec,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4718,12/18/1916,1916,Dec,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4719,12/19/1916,1916,Dec,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4720,12/20/1916,1916,Dec,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4721,12/21/1916,1916,Dec,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4722,12/22/1916,1916,Dec,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4723,12/23/1916,1916,Dec,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4724,12/24/1916,1916,Dec,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4725,12/25/1916,1916,Dec,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4726,12/26/1916,1916,Dec,361,32,-20,0.75,0,-28.88888889,19.05,-14.44444444,4.50E-05,19.04995498,NA
4727,12/27/1916,1916,Dec,362,24,-12,NA,-4.444444444,-24.44444444,NA,-14.44444444,NA,NA,NA
4728,12/28/1916,1916,Dec,363,28,-11,NA,-2.222222222,-23.88888889,NA,-13.05555556,NA,NA,NA
4729,12/29/1916,1916,Dec,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4730,12/30/1916,1916,Dec,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4731,12/31/1916,1916,Dec,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4732,1/1/1917,1917,Jan,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4733,1/2/1917,1917,Jan,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4734,1/3/1917,1917,Jan,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4735,1/4/1917,1917,Jan,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4736,1/5/1917,1917,Jan,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4737,1/6/1917,1917,Jan,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4738,1/7/1917,1917,Jan,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4739,1/8/1917,1917,Jan,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4740,1/9/1917,1917,Jan,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4741,1/10/1917,1917,Jan,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4742,1/11/1917,1917,Jan,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4743,1/12/1917,1917,Jan,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4744,1/13/1917,1917,Jan,13,48,-43,NA,8.888888889,-41.66666667,NA,-16.38888889,NA,NA,NA
4745,1/14/1917,1917,Jan,14,8,-35,NA,-13.33333333,-37.22222222,NA,-25.27777778,NA,NA,NA
4746,1/15/1917,1917,Jan,15,2,-38,NA,-16.66666667,-38.88888889,NA,-27.77777778,NA,NA,NA
4747,1/16/1917,1917,Jan,16,6,-42,NA,-14.44444444,-41.11111111,NA,-27.77777778,NA,NA,NA
4748,1/17/1917,1917,Jan,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4749,1/18/1917,1917,Jan,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4750,1/19/1917,1917,Jan,19,22,-38,NA,-5.555555556,-38.88888889,NA,-22.22222222,NA,NA,NA
4751,1/20/1917,1917,Jan,20,18,-3,0.03,-7.777777778,-19.44444444,0.762,-13.61111111,3.51E-06,0.761996493,NA
4752,1/21/1917,1917,Jan,21,15,-19,NA,-9.444444444,-28.33333333,NA,-18.88888889,NA,NA,NA
4753,1/22/1917,1917,Jan,22,12,-39,NA,-11.11111111,-39.44444444,NA,-25.27777778,NA,NA,NA
4754,1/23/1917,1917,Jan,23,15,-10,0.05,-9.444444444,-23.33333333,1.27,-16.38888889,6.33E-07,1.269999367,NA
4755,1/24/1917,1917,Jan,24,13,-19,NA,-10.55555556,-28.33333333,NA,-19.44444444,NA,NA,NA
4756,1/25/1917,1917,Jan,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4757,1/26/1917,1917,Jan,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4758,1/27/1917,1917,Jan,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4759,1/28/1917,1917,Jan,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4760,1/29/1917,1917,Jan,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4761,1/30/1917,1917,Jan,30,28,-2,0.04,-2.222222222,-18.88888889,1.016,-10.55555556,5.39E-05,1.015946113,NA
4762,1/31/1917,1917,Jan,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4763,2/1/1917,1917,Feb,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4764,2/2/1917,1917,Feb,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4765,2/3/1917,1917,Feb,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4766,2/4/1917,1917,Feb,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.8
4767,2/5/1917,1917,Feb,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.8
4768,2/6/1917,1917,Feb,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.8
4769,2/7/1917,1917,Feb,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.8
4770,2/8/1917,1917,Feb,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,355.6
4771,2/9/1917,1917,Feb,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,355.6
4772,2/10/1917,1917,Feb,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,381
4773,2/11/1917,1917,Feb,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,381
4774,2/12/1917,1917,Feb,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,381
4775,2/13/1917,1917,Feb,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.4
4776,2/14/1917,1917,Feb,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.2
4777,2/15/1917,1917,Feb,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.8
4778,2/16/1917,1917,Feb,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.8
4779,2/17/1917,1917,Feb,48,45,-15,NA,7.222222222,-26.11111111,NA,-9.444444444,NA,NA,279.4
4780,2/18/1917,1917,Feb,49,30,-5,NA,-1.111111111,-20.55555556,NA,-10.83333333,NA,NA,254
4781,2/19/1917,1917,Feb,50,35,-9,NA,1.666666667,-22.77777778,NA,-10.55555556,NA,NA,254
4782,2/20/1917,1917,Feb,51,32,-2,NA,0,-18.88888889,NA,-9.444444444,NA,NA,330.2
4783,2/21/1917,1917,Feb,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,609.6
4784,2/22/1917,1917,Feb,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.8
4785,2/23/1917,1917,Feb,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,838.2
4786,2/24/1917,1917,Feb,55,12,-19,0.15,-11.11111111,-28.33333333,3.81,-19.72222222,1.32E-07,3.809999868,812.8
4787,2/25/1917,1917,Feb,56,24,-6,0.08,-4.444444444,-21.11111111,2.032,-12.77777778,1.82E-05,2.031981784,863.6
